MIN;AVG;MAX
33;49;53
42;48;51
39;45;47
41;46;49
45;47;50
42;45;49
38;44;47
43;45;46
31;45;48
43;45;47
43;45;47
43;45;47
40;45;47
43;45;47
43;45;50
43;45;46
43;45;47
44;45;48
35;44;47
42;45;46
42;45;47
42;45;47
42;45;50
44;45;48
40;45;46
43;45;46
42;45;46
42;45;47
43;45;47
43;45;47
42;45;46
43;45;46
43;45;50
43;45;46
43;45;47
43;45;48
42;45;47
44;45;47
43;45;46
43;45;47
42;45;50
42;45;48
42;45;47
42;45;47
42;45;46
43;45;47
44;45;47
41;45;48
36;44;47
43;45;47
42;45;49
40;44;47
42;46;51
44;48;51
46;49;53
48;50;52
48;51;54
48;51;56
42;48;53
41;45;49
43;45;47
43;45;46
43;45;48
17;44;47
43;45;48
42;45;46
14;43;61
41;44;47
42;46;50
43;46;53
44;46;50
42;46;48
43;48;54
46;49;51
45;49;51
46;50;57
47;50;53
42;50;51
35;47;50
44;48;53
45;49;51
47;50;51
46;48;51
44;47;50
42;46;48
42;44;46
43;44;47
45;48;51
47;49;51
44;50;59
48;50;51
48;50;52
48;50;51
47;50;51
47;50;51
48;50;51
48;50;52
47;50;56
45;48;51
42;44;47
42;44;46
42;43;45
42;44;45
